Tid,Gid,Same_identity
15847367,101767068552230045164,no
15847367,105135198302843216163,yes
15847367,118416191740834300315,no
15854316,111875785330664310779,yes
15854316,117613638752768553824,no
15854575,102858992253309666174,yes
1586674278,109033299391956892579,no
1586674278,114712852231433778388,yes
1586752332,117240177669871793636,yes
15868017,116607451413574474055,yes
15868017,117416089932462647403,no
15873848,108486445244988868879,no
15873848,112174413414693619166,yes
15873848,114465481367291273092,no
1588740504,102269949688180231960,yes
1588740504,106440107609259692671,no
1588740504,112899360698094099666,no
1590103873,109850156217628503853,yes
1590103873,111637035044588577506,no
1590103873,112294633768627359244,no
1590103873,113441017144720360461,no
15901597,105041155822701773216,yes
159037373,103647404645375869113,no
159037373,116519298355831472241,yes
15904300,101403174733863658565,yes
15915952,101481979958913768914,no
15915952,101720560293238940880,no
15915952,107183390720684822923,no
15915952,117354960403553623970,yes
15926078,101115028051255611611,no
15926078,103859615688714421174,no
15926078,107082278701210921200,yes
15926078,112703323488409728264,no
15934170,100681398634904193211,no
15934170,107155286549172910400,yes
15935999,100716977602077447415,yes
15947897,107113033936595495989,yes
15947897,107347752961256456544,no
15947897,113351642758699862807,no
159628853,100709158522649916582,no
159628853,108693585600356818455,yes
159628853,110968895688679836139,no
15971714,101295425594583154535,no
15971714,109805424810055054508,no
15971714,110176482386206490784,yes
15973037,101918120573227767799,no
15973037,113194586610707967308,no
15973037,115237092509505721130,yes
160005695,106441570033029509222,yes
160005695,108255547333870723106,no
16017251,105211254097588470989,yes
16018802,106728856043143204200,yes
16018802,106820522370465795246,no
16021014,103448640997558067665,yes
16021014,105661617963223895038,no
16024902,103075181637342724249,no
16024902,110055696802818180321,yes
16046912,104205385685631366134,yes
16063410,105000864368700262321,yes
160732210,101331972152407930851,no
160732210,105090363595641798289,no
160732210,107380220496434039651,no
160732210,113987939352583444477,yes
161493206,102660925149030065933,yes
16159310,104016554105084363677,no
16159310,106618588317943363161,yes
16159310,112515330356117531877,no
16163217,100374956332838455240,no
16163217,107626481471868440814,yes
1619103835,103135162823321948365,yes
16213124,105041155822701773216,no
16213124,113090210766871505439,no
16213124,118136232699687858099,yes
1623573450,102136601183797591108,yes
162686775,104825570394776212637,yes
162686775,116930783277893951984,no
1628268714,101805779739996263936,no
1628268714,111868566819315188595,yes
1629244514,104583919067259079407,no
1629244514,111161147524949095445,yes
16296683,115885579235623594084,yes
163002242,101481979958913768914,no
163002242,105252579872975184219,yes
163021889,110740096349093718855,yes
163021889,110792061537507580889,no
16323190,110992540192600516242,yes
16329361,110593853249475600967,yes
16350504,101524269459571825585,yes
16350504,108893809261055860068,no
163670188,116541097839806213812,no
163670188,117754954286039940170,yes
163675066,117754954286039940170,yes
16370485,106578394402183293486,yes
16370485,112553518956864744411,no
163790328,105176201879516938505,yes
163790328,114641563655929919163,no
16380526,108590147577342967573,yes
16380526,109571907544987705280,no
16380526,113810119008137090516,no
16389630,104313639177467750059,yes
16393162,108284376742570502007,yes
1639442106,100487839149626833980,yes
1639442106,108611360545827241347,no
16409856,100504679261905339405,yes
16409856,108841193209334587998,no
16411173,100710456459435212263,no
16411173,112695480936941834082,yes
16413647,112579702851534445758,yes
1641602245,102489050874024260636,yes
1641602245,103207242491885562252,no
1642035152,105463182062509131558,yes
1642035152,113987939352583444477,no
16422088,116037908406574403484,yes
16465833,114705439845350957312,yes
16477616,102709562416726138273,yes
16477616,105052722675625815621,no
164781936,106125330160782028851,no
164781936,117257715335191865053,yes
164979747,102041327289496935587,no
164979747,116068929718715118792,yes
16500105,101713037098205926660,yes
1652045282,109266601634385891937,yes
16540406,114794723532613892967,yes
165456016,108794942917533257131,yes
16551533,108070646120160104788,yes
16551533,109567779145283441507,no
16551533,113146286262496616482,no
16551533,114446985014897101158,no
16557432,106331404879492856520,no
16557432,115801150260585319211,no
16557432,118255512766703943814,yes
16560623,109967341971621667204,no
16560623,110346500530502745039,yes
16567917,106435092957109823464,yes
16567917,106990459730486922427,no
165706045,112670822595410706174,no
165706045,117416089932462647403,no
165706045,117951327725186629857,yes
16579506,101773176092708417848,no
16579506,111473294216680482733,no
16579506,112496882821004592436,no
16579506,113557371289421835990,yes
165971702,100546841125707269412,no
165971702,107207036779440960937,yes
166016238,104266375438972856345,no
166016238,108738543135908520741,no
166016238,110477673763115767990,yes
166016238,115158268997680342018,no
166106658,101615561217447580399,no
166106658,102356310654888725548,yes
16614521,104405679630072508308,yes
16616855,102084257258559149993,yes
16616855,115799234856206458873,no
166261823,112387490733230098418,yes
16626187,108726152831752630088,yes
16626187,117196800758841601601,no
1662898160,102886197764899636537,yes
166433975,105062866202972465248,yes
166564374,102489050874024260636,no
166564374,113218101287961545481,yes
1666524906,100355041045514658842,yes
1666524906,104996011251233370836,no
16669194,110983904846185048211,yes
16674724,100644739256578503375,yes
16674724,114174399573257744290,no
16674724,114957287714787349243,no
16684720,112202129523606984704,yes
1669453092,109670670411577277190,yes
16712964,102029061282787477955,no
16712964,106125330160782028851,yes
167240146,115182176800088912092,no
167240146,116245148848080474877,yes
16726836,109125078015384317470,yes
1677131779,117466765998557228165,yes
16801492,114826675123710093091,no
16801492,115556703606640570961,yes
16815673,101134705810703667469,yes
1681729680,117493511011372581423,yes
16821019,101574331306201964941,no
16821019,105191184776775320237,yes
16821019,107197881648787880368,no
168210874,103280786824527848477,yes
1683664502,106840494431728051523,yes
16838153,100861075586064762371,no
16838153,103654500710885288671,no
16838153,110132555317989725363,yes
16856622,114241694490996505356,yes
168659251,117271823550428470515,yes
16868263,114352077396537903231,no
16868263,116653992599208763428,yes
168950806,108898736368143407405,yes
16895135,103892843756494222476,yes
168988932,103589433466033644268,yes
16909926,106423164776813786517,no
16909926,109241180941257276810,yes
16928122,102502611367930226805,yes
16928122,110597405361098513186,no
16929682,103163264047876370868,yes
16938227,104081822149020120656,yes
1694139265,109559876976674069274,yes
1694139265,112266532763799079184,no
1694139265,115613178447829404258,no
1694139265,117321146316091781833,no
169527826,101806750141735960126,yes
16952837,103488312762145240980,yes
16952837,106423164776813786517,no
17005126,107230040249004667075,yes
170128466,102534006258795866025,no
170128466,105592263171058062908,yes
17021732,104784416892651238499,no
17021732,111538675059310105255,yes
170221295,107868802925151317504,yes
170221295,108284376742570502007,no
170497524,100682980590193613486,no
170497524,101574331306201964941,yes
170497524,110176482386206490784,no
1705195130,105264139093900718224,no
1705195130,108102622493582164998,yes
17070388,105090363595641798289,yes
17076700,115639872537084676090,yes
170905301,105566420503165301945,no
170905301,105772561463865428234,yes
170905301,108325100302255329922,no
170905301,111587319385064085440,no
17109722,101451907372712877045,no
17109722,114164392473567048505,yes
1711421509,108238411469513289667,no
1711421509,112521087123250593344,yes
1713298790,106580193889112724766,yes
1713298790,107433873308226649269,no
1713298790,109103633222153558491,no
17136773,106544113502730502763,yes
17140906,110483697456093853678,no
17140906,117142491928353944408,yes
17153067,100271162429893002764,yes
1715371316,104793306745746138437,yes
1716047011,103886756811589525024,no
1716047011,116930037124484274687,yes
1716834979,100440758470641315034,yes
1716834979,109299147805368642516,no
1716834979,113154289069942678697,no
17170067,101496225020893974166,no
17170067,108070646120160104788,no
17170067,112141671271909735156,yes
171789983,109194767821862704336,yes
171789983,109929756110358006820,no
171891549,106150188477499784799,yes
17189517,100502806126131626792,yes
17195410,109195538056352774283,no
17195410,110955908276617703830,yes
17195410,117549084190689078968,no
17198577,105153141457250492434,no
17198577,107082278701210921200,no
17198577,111587319385064085440,yes
17198577,113090210766871505439,no
17198577,114794723532613892967,no
1720168495,105268185962501937268,yes
17204609,105017692376332726557,no
17204609,109022332118944471562,no
17204609,113797187293136054888,yes
17204609,115532442912917396285,no
17233107,116301362267515897906,yes
172555038,105492135697748920773,yes
17259300,104474290011100240267,no
17259300,112703323488409728264,yes
1726010396,105092091546152039219,yes
1726010396,107197881648787880368,no
1726010396,115011934808324004029,no
172712000,102763694949633583061,yes
172712000,112941264944453866027,no
172726262,102763694949633583061,yes
17280132,103029057458261501702,no
17280132,105207240085222623592,no
17280132,113154289069942678697,no
17280132,116245148848080474877,no
17280132,117898826851477361196,yes
1730364025,102254648634055445274,no
1730364025,116410221705877339496,yes
173113718,103218246703740413827,no
173113718,104474290011100240267,no
173113718,111377787142746260365,no
173113718,113942936901208185285,yes
17313189,106992020178791907378,yes
17323582,117948666731480474257,yes
17323582,118416191740834300315,no
1733367122,101394503087099242953,yes
1733367122,113416672289469659241,no
173391676,114576522038049983062,yes
173572181,108238411469513289667,yes
17363,105093936623547141136,yes
17363,106721733329975040935,no
17363,113154289069942678697,no
17374049,107120112732710071389,yes
17374049,116377460083257596519,no
173898105,106187749835520597135,no
173898105,114259008608527619729,yes
174008148,109237084518592262411,no
174008148,113915362910303727582,no
174008148,118147392141073790711,yes
17417988,103988290646908566062,yes
17417988,109550030419893756021,no
17419392,105965448666630254878,yes
174293428,100813676358082856176,no
174293428,103862378427570943830,no
174293428,118094719877679412914,no
174293428,118212927391274074354,yes
17443186,105764942685316342387,yes
17461592,109609108757245537962,no
17461592,116445379838677729830,yes
17468192,100071081969519509281,yes
17468192,107697133538893365626,no
17478906,102760922043898306220,no
17478906,114266753578867809369,yes
17509244,102318199169718430035,yes
175277739,102523367568032980545,yes
175340469,101867719598266894195,no
175340469,104251901694902074805,yes
175340469,113289802858946788538,no
175340469,117110030984829988031,no
175363023,115064580333669401513,yes
1753790960,101867719598266894195,yes
1753790960,106203880770609823737,no
1753790960,111552576128917427142,no
175428931,105219014599049633691,no
175428931,108176792730996097778,yes
175581060,106609336286411795230,no
175581060,115311744297063116242,yes
17575000,108658194302231556406,no
17575000,111490645885089453695,no
17575000,118068780744340572073,yes
17584415,111181202599011089389,yes
17591406,105732513599704595427,no
17591406,106374596041606999538,yes
17606877,102514070238727572602,no
