Gid,Fid,Same_identity
100001355319963562018,100000395306763,1
100001355319963562018,100000873541091,0
100029963626493745557,100000686807437,1
100065560225678323362,100000054300457,1
100065560225678323362,100000974520949,0
100115930085096011978,100000121999473,1
100115930085096011978,100000125520936,0
100115930085096011978,100000437452673,0
100157232341277260593,100000365041415,0
100157232341277260593,100000373270414,0
100157232341277260593,100001184288256,1
100170394438705747350,100000268506897,0
100170394438705747350,100000629673572,0
100170394438705747350,100000891000208,1
100170394438705747350,100000936750127,0
100195950207000599578,100000872419985,0
100195950207000599578,100001160576641,1
100204628869339858709,100000028636673,1
100204628869339858709,100001160576641,0
100211028688654466953,100000009815900,1
100211028688654466953,100000628161689,0
100211028688654466953,100000684189680,0
100211028688654466953,100000734847203,0
100228643782550199385,100000166034955,0
100228643782550199385,100001104543903,0
100228643782550199385,100001295328060,1
100231948652950079814,100000301261206,1
100241858058101943930,100000162097668,0
100241858058101943930,100000503751872,1
100267864514910761895,100000202863378,1
100267864514910761895,100001226212740,0
100273874988869212856,100000418886593,1
100273874988869212856,100001184971194,0
100289329050740685508,100000270079918,1
100310833814402573894,100000014851054,0
100310833814402573894,100000451067444,1
100310833814402573894,100000639163911,0
100325598485526292073,100000424240799,1
100325598485526292073,100000479021440,0
100344195246532065586,100000531143645,1
100352564029657541261,100000078315083,0
100352564029657541261,100000949478606,1
100352564029657541261,100001047706153,0
100377925447246283406,100000268506897,0
100377925447246283406,100000410455275,0
100377925447246283406,100000597314635,1
100400789225959763414,100000044492350,1
100400789225959763414,100000203048481,0
100400789225959763414,100000961247661,0
100408488024357527632,100000861856366,1
100408897078326915737,100000106836314,0
100408897078326915737,100001191726429,1
100430424117986802708,100000598899015,1
100430424117986802708,100000614796279,0
100432772578874312693,100000267503495,0
100432772578874312693,100000379381102,1
100433734937248517603,100000148771107,0
100433734937248517603,100000391912910,1
100482761845506204050,100000384194039,0
100482761845506204050,100000852900117,1
100485818514778806142,100000566025445,1
100494364263712586164,100000213077162,0
100494364263712586164,100000474469295,1
100494364263712586164,100000925854404,0
100494364263712586164,100000975305104,0
100501233146545803961,100000014875320,1
100501233146545803961,100001163767207,0
100503012288943221410,100000387044987,0
100503012288943221410,100000906818803,1
100504234329222918517,100000028636673,0
100504234329222918517,100000555130731,0
100504234329222918517,100000739023178,0
100504234329222918517,100001274052275,1
100524197315956432570,100000268506897,1
100526235274136353181,100000012103889,0
100526235274136353181,100000120012266,1
100526235274136353181,100000536260587,0
100532349154493985611,100000499234060,1
100533573186595738899,100000207461048,0
100533573186595738899,100000331233124,0
100533573186595738899,100000499495745,0
100533573186595738899,100000641536047,0
100533573186595738899,100000853915916,1
100542899614915662051,100001044630314,1
100551949116479076882,100000652981105,1
100559655057992307237,100000349061447,1
100562250276914831013,100000298973314,1
100562250276914831013,100000377746794,0
100562250276914831013,100000502036709,0
100584979027555697853,100000105980768,0
100584979027555697853,100000536260587,0
100584979027555697853,100001186431254,1
100596386643505337052,100000334488139,1
100596386643505337052,100000898766488,0
100636065889326477884,100000397452931,1
100649971245071518566,100000863865514,1
100649971245071518566,100001213892166,0
100658697603377008770,100000012103889,1
100664095565177126579,100000253557029,1
100664095565177126579,100000490579871,0
100664095565177126579,100000938230849,0
100672526578787117753,100000370025194,1
100678758553531716334,100000533870565,0
100678758553531716334,100000874436009,1
100687427485626072562,100000060368102,0
100687427485626072562,100000502375685,1
100745491719449948438,100001018978700,1
100762201975308145317,100000407105125,1
100762201975308145317,100000430226647,0
100765961220014318351,100000407204122,0
100765961220014318351,100001144784582,1
100774884456786910543,100000865370312,1
100774884456786910543,100001312028260,0
100784393880501929252,100000065924941,0
100784393880501929252,100001043875494,1
100790933691357613269,100000503574928,1
100799893036505138160,100000515402033,1
100812823065600323436,100001077259768,1
100814362956127542484,100000561639420,0
100814362956127542484,100001086113173,1
100849659458910014493,100000185821353,0
100849659458910014493,100001178179285,1
100855491600816995207,100001196551122,1
100864373545996976192,100000629842217,1
100864373545996976192,100000732086354,0
100864373545996976192,100000913674071,0
100866963970173317701,100000744283471,1
100866963970173317701,100001299713962,0
100898490348588404375,100001209183112,1
100907992206441186134,100000061399553,1
100912136801976261219,100000135510796,1
100916829032855168892,100001276972345,1
100936478098729556480,100000143531258,1
100942989400291464838,100000170860094,1
100942989400291464838,100000838088625,0
100958991791197961725,100001070882737,1
100961325080339161597,100000432022537,0
100961325080339161597,100000447846453,0
100961325080339161597,100001276098440,1
100962781218757387092,100000105525312,0
100962781218757387092,100000125502521,1
100965841441749398575,100001156388314,1
100983676053249184956,100000410144820,0
100983676053249184956,100000798464722,0
100983676053249184956,100001041291733,1
101004587826395348791,100000424254389,1
101016943306447890564,100001186945719,1
101027886858609080364,100001118432565,1
101044411879583969225,100000922988500,1
101044411879583969225,100001177942683,0
101051236521557550504,100000587876346,0
101051236521557550504,100000795311596,1
101057378422322927825,100000005166276,1
101064046117710059535,100000103974272,1
101064046117710059535,100000139434769,0
101064046117710059535,100000641919624,0
101068259496004498250,100000051366023,0
101068259496004498250,100000590148236,0
101068259496004498250,100000923418128,1
101068259496004498250,100001146607360,0
101076426623791985993,100000010503560,0
101076426623791985993,100000626458804,0
101076426623791985993,100001146607360,1
101077572387658637229,100000420932834,1
101077572387658637229,100001132694665,0
101089665903438488275,100000216482065,1
101150768279220718160,100000033253472,0
101150768279220718160,100000953732505,1
101153358278166778336,100000141549881,0
101153358278166778336,100000829517198,1
101153358278166778336,100001120983053,0
101172603385147183978,100000106836314,1
101172603385147183978,100000219546069,0
101196675134009220025,100000005166276,0
101196675134009220025,100000478322337,1
101208472078766177046,100000945388623,0
101208472078766177046,100001043530560,1
101251562962161312443,100000686796745,0
101251562962161312443,100000798339415,1
101251562962161312443,100001158310274,0
101252209573249667044,100000619659186,0
101252209573249667044,100001051169086,1
101307916909843124131,100000298359855,0
101307916909843124131,100000517729060,0
101307916909843124131,100000565593360,1
101357651075155718836,100000877182847,0
101357651075155718836,100000976277532,1
101370161703270651652,100000213077162,0
101370161703270651652,100000444802830,0
101370161703270651652,100001139230098,1
101370161703270651652,100001312159104,0
101376272477982323239,100000187797460,0
101376272477982323239,100000861704251,1
101389215653835963741,100000477609328,1
101395003445740000885,100000101106017,1
101403234714292310474,100000920688203,0
101403234714292310474,100000928993627,1
101410902391857766412,100000215254871,1
101410902391857766412,100000720274690,0
101416224698190335045,100000036444423,1
101416224698190335045,100000741567398,0
101421380047778929644,100000641563901,1
101421380047778929644,100000703251331,0
101421380047778929644,100000934156224,0
101450826332596144874,100000730973515,0
101450826332596144874,100000897687665,1
101450826332596144874,100001095792040,0
101452651392964694245,100000704231840,1
101468204569652634000,100000168624910,0
101468204569652634000,100000970215380,1
101506174520709256941,100000045347258,0
101506174520709256941,100000533133136,1
101515212979189477972,100000479922326,0
101515212979189477972,100000957084120,1
101533536259299852161,100000459639181,1
101534177948830550875,100000286313892,1
101534177948830550875,100000934730197,0
101539454958672330516,100000086018665,1
101543349321329877837,100000055443023,0
101543349321329877837,100000525974164,1
101547564108860660910,100000148795280,1
101547564108860660910,100000617226861,0
101547564108860660910,100000981891843,0
101551314771102070585,100000001235122,0
101551314771102070585,100000063339427,1
101551314771102070585,100001191726429,0
101559546568722912279,100000055443023,1
101574488477419738708,100000006644071,1
101574488477419738708,100000048420192,0
101574488477419738708,100000410314343,0
